code,description,price_importado,price_nacional,categoria_nueva,marca_final,modelo_final
1400,Descripcion,Lista Importado final,Lista Nacional final,OTROS,,UNIVERSAL
1001/00010-084,ABRAZADERA CHAPA FILTRO AIRE NSU,0.3585420678475125,0,FILTROS,,UNIVERSAL
1005/02102-630,ACEITE MOTO 4T 20W40 X 1LT YAMALUBE,0,7822.364318999999,LUBRICANTES,,UNIVERSAL
1007/01105-658,ACEITE POWER TRAC 4T 15W50 DOYPACK x 1 LITRO(SEMI GULF,0,8434.681794,LUBRICANTES,,UNIVERSAL
1007/01100-658,ACEITE POWER TRAC 4T 15W50 x 1 LITRO(SEMISINTETICO GULF,0,8459.713548,LUBRICANTES,,UNIVERSAL
1003/01010-658,ACEITE PRIDE 2T VERDE SACHET x 100 ML(MINERAL) GULF,0,660.0385440000001,LUBRICANTES,,100
1003/03100-658,ACEITE PRIDE 2T VERDE x 1 LITRO (MINERAL) GULF,0,4572.793764,LUBRICANTES,,UNIVERSAL
1005/02100-658,ACEITE PRIDE 4T SPECIAL 20W50  x 1 LITRO(MINERAL) GULF,0,5504.104386,LUBRICANTES,,UNIVERSAL
1005/02105-658,ACEITE PRIDE 4T SPECIAL DOYPACK 20W 50x1LITRO MINE GULF,0,5238.487485000001,LUBRICANTES,,UNIVERSAL
1005/02103-658,ACEITE PRIDE 4T SPECIAL DOYPACK 20W 50x800ML MINER GULF,0,4128.877071,LUBRICANTES,,UNIVERSAL
1009/01100-658,ACEITE SYNTRAC 4T 10W 40 x 1 LITRO (SINTETICO) GULF,0,15019.807077,LUBRICANTES,,UNIVERSAL
1225/00400-536,ACOPLE CARBURADOR CORTINA PLANA DIAM35 COMPETICION AF,0,2836.066365,ALIMENTACIÓN / CARBURACIÓN,,UNIVERSAL
1225/00410-536,ACOPLE CARBURADOR CORTINA PLANA DIAM40 COMPETICION AF,0,2836.066365,ALIMENTACIÓN / CARBURACIÓN,,UNIVERSAL
1548/00010-536,ACRILICO TABLERO GILERA SMASH/BIZ AF,0,2827.892331,ELECTRICIDAD,GILERA,SMASH
1548/00010-022,ACRILICO TABLERO GILERA SMASH/BIZ NSU,2.419964945892334,0,ELECTRICIDAD,GILERA,SMASH
1548/00015-536,ACRILICO TABLERO HONDA BIZ 125 AF,0,2827.892331,ELECTRICIDAD,HONDA,BIZ
1548/00014-536,ACRILICO TABLERO HONDA BIZ 125 REVOLUTION AF,0,2827.892331,ELECTRICIDAD,HONDA,BIZ
1548/00050-038,ACRILICO TABLERO HONDA CG150 TITAN NEW 2018 NSU,5.084327527435685,0,ELECTRICIDAD,HONDA,CG150 / TITAN
1548/00011-536,ACRILICO TABLERO HONDA WAVE/GUERRERO G100 AF,0,2827.892331,ELECTRICIDAD,HONDA,WAVE
1548/00011-022,ACRILICO TABLERO HONDA WAVE/GUERRERO G100 NSU,3.002997003804588,0,ELECTRICIDAD,HONDA,WAVE
1548/00016-022,ACRILICO TABLERO YAMAHA CRYPTON NSU,2.407928012383461,0,ELECTRICIDAD,YAMAHA,CRYPTON
1548/00016-566,ACRILICO TABLERO YAMAHA CRYPTON VC,0,3469.485393,ELECTRICIDAD,GILERA / YAMAHA,CRYPTON
1548/00017-536,ACRILICO TABLERO YAMAHA NEW CRYPTON AF,0,2827.892331,ELECTRICIDAD,YAMAHA,CRYPTON
