code,name,brand,category,description,price_usd,price_ars
1001/00010-084,ABRAZADERA CHAPA FILTRO AIRE,NSU,Repuestos / General,"ABRAZADERA CHAPA FILTRO AIRE Marca/fabricante: NSU. Categoría: Repuestos / General. precio USD 0.3585420678475125 | precio ARS 0.0 Código interno: 1001/00010-084. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.3585420678475125,0.0
1005/02102-630,ACEITE MOTO 4T 20W40 X 1LT YAMALUBE,,Lubricantes,"ACEITE MOTO 4T 20W40 X 1LT YAMALUBE Categoría: Lubricantes. precio USD 0.0 | precio ARS 7822.364318999999 Código interno: 1005/02102-630. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,7822.364318999999
1007/01105-658,ACEITE POWER TRAC 4T 15W50 DOYPACK x 1 LITRO(SEMI,GULF,Lubricantes,"ACEITE POWER TRAC 4T 15W50 DOYPACK x 1 LITRO(SEMI Marca/fabricante: GULF. Categoría: Lubricantes. precio USD 0.0 | precio ARS 8434.681794 Código interno: 1007/01105-658. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,8434.681794
1007/01100-658,ACEITE POWER TRAC 4T 15W50 x 1 LITRO(SEMISINTETICO,GULF,Lubricantes,"ACEITE POWER TRAC 4T 15W50 x 1 LITRO(SEMISINTETICO Marca/fabricante: GULF. Categoría: Lubricantes. precio USD 0.0 | precio ARS 8459.713548 Código interno: 1007/01100-658. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,8459.713548
1003/01010-658,ACEITE PRIDE 2T VERDE SACHET x 100 ML(MINERAL),GULF,Lubricantes,"ACEITE PRIDE 2T VERDE SACHET x 100 ML(MINERAL) Marca/fabricante: GULF. Categoría: Lubricantes. precio USD 0.0 | precio ARS 660.0385440000001 Código interno: 1003/01010-658. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,660.0385440000001
1003/03100-658,ACEITE PRIDE 2T VERDE x 1 LITRO (MINERAL),GULF,Lubricantes,"ACEITE PRIDE 2T VERDE x 1 LITRO (MINERAL) Marca/fabricante: GULF. Categoría: Lubricantes. precio USD 0.0 | precio ARS 4572.793764 Código interno: 1003/03100-658. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4572.793764
1005/02100-658,ACEITE PRIDE 4T SPECIAL 20W50  x 1 LITRO(MINERAL),GULF,Lubricantes,"ACEITE PRIDE 4T SPECIAL 20W50  x 1 LITRO(MINERAL) Marca/fabricante: GULF. Categoría: Lubricantes. precio USD 0.0 | precio ARS 5504.104386 Código interno: 1005/02100-658. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,5504.104386
1005/02105-658,ACEITE PRIDE 4T SPECIAL DOYPACK 20W 50x1LITRO MINE,GULF,Lubricantes,"ACEITE PRIDE 4T SPECIAL DOYPACK 20W 50x1LITRO MINE Marca/fabricante: GULF. Categoría: Lubricantes. precio USD 0.0 | precio ARS 5238.487485000001 Código interno: 1005/02105-658. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,5238.487485000001
1005/02103-658,ACEITE PRIDE 4T SPECIAL DOYPACK 20W 50x800ML MINER,GULF,Lubricantes,"ACEITE PRIDE 4T SPECIAL DOYPACK 20W 50x800ML MINER Marca/fabricante: GULF. Categoría: Lubricantes. precio USD 0.0 | precio ARS 4128.877071 Código interno: 1005/02103-658. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,4128.877071
1009/01100-658,ACEITE SYNTRAC 4T 10W 40 x 1 LITRO (SINTETICO),GULF,Lubricantes,"ACEITE SYNTRAC 4T 10W 40 x 1 LITRO (SINTETICO) Marca/fabricante: GULF. Categoría: Lubricantes. precio USD 0.0 | precio ARS 15019.807077 Código interno: 1009/01100-658. Repuesto/motoparte del catálogo Tercom, pensado para motos de uso general y modelos equivalentes.",0.0,15019.807077
