codigo,descripcion,precio_dolares,precio_pesos,familia,familia_nombre,proveedor_nombre,marca_moto,modelo_moto,descripcion_normalizada,sinonimos,cilindrada,categoria_final
1400,Descripcion,Lista Importado final,Lista Nacional final,1400,Descripcion,Descripcion,,,descripcion,descripcion,,Universal / Varios
1001/00010-084,ABRAZADERA CHAPA FILTRO AIRE NSU,0.3585420678475125,0,1001,ABRAZADERA CHAPA FILTRO AIRE,NSU,,,abrazadera chapa filtro aire nsu,abrazadera chapa filtro aire; abrazadera chapa filtro aire nsu,,Universal / Varios
1005/02102-630,ACEITE MOTO 4T 20W40 X 1LT YAMALUBE,0,7822.364318999999,1005,ACEITE,YAMALUBE,MOTO,4T 20W40 X 1LT,aceite moto 4t 20w40 x 1lt yamalube,aceite; aceite moto 4t 20w40 x 1lt yamalube; moto; moto 4t 20w40 x 1lt,,Lubricantes
1007/01105-658,ACEITE POWER TRAC 4T 15W50 DOYPACK x 1 LITRO(SEMI GULF,0,8434.681794,1007,ACEITE POWER TRAC 4T,GULF,15W50,DOYPACK x 1 LITRO(SEMI,aceite power trac 4t 15w50 doypack x 1 litro semi gulf,15w50; 15w50 doypack x 1 litro semi; aceite power trac 4t; aceite power trac 4t 15w50 doypack x 1 litro semi gulf,,Lubricantes
1007/01100-658,ACEITE POWER TRAC 4T 15W50 x 1 LITRO(SEMISINTETICO GULF,0,8459.713548,1007,ACEITE POWER TRAC 4T,GULF,15W50,x 1 LITRO(SEMISINTETICO,aceite power trac 4t 15w50 x 1 litro semisintetico gulf,15w50; 15w50 x 1 litro semisintetico; aceite power trac 4t; aceite power trac 4t 15w50 x 1 litro semisintetico gulf,,Lubricantes
1003/01010-658,ACEITE PRIDE 2T VERDE SACHET x 100 ML(MINERAL) GULF,0,660.0385440000001,1003,ACEITE PRIDE 2T VERDE,GULF,SACHET,x 100 ML(MINERAL),aceite pride 2t verde sachet x 100 ml mineral gulf,aceite pride 2t verde; aceite pride 2t verde sachet x 100 ml mineral gulf; sachet; sachet x 100 ml mineral,100.0,Lubricantes
1003/03100-658,ACEITE PRIDE 2T VERDE x 1 LITRO (MINERAL) GULF,0,4572.793764,1003,ACEITE PRIDE 2T VERDE,GULF,x,1 LITRO (MINERAL),aceite pride 2t verde x 1 litro mineral gulf,aceite pride 2t verde; aceite pride 2t verde x 1 litro mineral gulf; x; x 1 litro mineral,,Lubricantes
1005/02100-658,ACEITE PRIDE 4T SPECIAL 20W50  x 1 LITRO(MINERAL) GULF,0,5504.104386,1005,ACEITE,GULF,PRIDE,4T SPECIAL 20W50 x 1 LITRO(MINERAL),aceite pride 4t special 20w50 x 1 litro mineral gulf,aceite; aceite pride 4t special 20w50 x 1 litro mineral gulf; pride; pride 4t special 20w50 x 1 litro mineral,,Lubricantes
1005/02105-658,ACEITE PRIDE 4T SPECIAL DOYPACK 20W 50x1LITRO MINE GULF,0,5238.487485000001,1005,ACEITE,GULF,PRIDE,4T SPECIAL DOYPACK 20W 50x1LITRO MINE,aceite pride 4t special doypack 20w 50x1litro mine gulf,aceite; aceite pride 4t special doypack 20w 50x1litro mine gulf; pride; pride 4t special doypack 20w 50x1litro mine,,Lubricantes
1005/02103-658,ACEITE PRIDE 4T SPECIAL DOYPACK 20W 50x800ML MINER GULF,0,4128.877071,1005,ACEITE,GULF,PRIDE,4T SPECIAL DOYPACK 20W 50x800ML MINER,aceite pride 4t special doypack 20w 50x800ml miner gulf,aceite; aceite pride 4t special doypack 20w 50x800ml miner gulf; pride; pride 4t special doypack 20w 50x800ml miner,,Lubricantes
1009/01100-658,ACEITE SYNTRAC 4T 10W 40 x 1 LITRO (SINTETICO) GULF,0,15019.807077,1009,ACEITE SYNTRAC 4T 10W,GULF,40,x 1 LITRO (SINTETICO),aceite syntrac 4t 10w 40 x 1 litro sintetico gulf,40; 40 x 1 litro sintetico; aceite syntrac 4t 10w; aceite syntrac 4t 10w 40 x 1 litro sintetico gulf,,Lubricantes
1225/00400-536,ACOPLE CARBURADOR CORTINA PLANA DIAM35 COMPETICION AF,0,2836.066365,1225,ACOPLE CARBURADOR CORTINA PLANA,AF,DIAM35,COMPETICION,acople carburador cortina plana diam35 competicion af,acople carburador cortina plana; acople carburador cortina plana diam35 competicion af; diam35; diam35 competicion,,Universal / Varios
1225/00410-536,ACOPLE CARBURADOR CORTINA PLANA DIAM40 COMPETICION AF,0,2836.066365,1225,ACOPLE CARBURADOR CORTINA PLANA,AF,DIAM40,COMPETICION,acople carburador cortina plana diam40 competicion af,acople carburador cortina plana; acople carburador cortina plana diam40 competicion af; diam40; diam40 competicion,,Universal / Varios
1548/00010-536,ACRILICO TABLERO GILERA SMASH/BIZ AF,0,2827.892331,1548,ACRILICO TABLERO,AF,GILERA,SMASH/BIZ,acrilico tablero gilera smash biz af,acrilico tablero; acrilico tablero gilera smash biz af; gilera; gilera smash biz,,Opticas / Tablero / Iluminacion
1548/00010-022,ACRILICO TABLERO GILERA SMASH/BIZ NSU,2.419964945892334,0,1548,ACRILICO TABLERO,NSU,GILERA,SMASH/BIZ,acrilico tablero gilera smash biz nsu,acrilico tablero; acrilico tablero gilera smash biz nsu; gilera; gilera smash biz,,Opticas / Tablero / Iluminacion
1548/00015-536,ACRILICO TABLERO HONDA BIZ 125 AF,0,2827.892331,1548,ACRILICO TABLERO,AF,HONDA,BIZ 125,acrilico tablero honda biz 125 af,acrilico tablero; acrilico tablero honda biz 125 af; honda; honda biz 125,125.0,Opticas / Tablero / Iluminacion
1548/00014-536,ACRILICO TABLERO HONDA BIZ 125 REVOLUTION AF,0,2827.892331,1548,ACRILICO TABLERO,AF,HONDA,BIZ 125 REVOLUTION,acrilico tablero honda biz 125 revolution af,acrilico tablero; acrilico tablero honda biz 125 revolution af; honda; honda biz 125 revolution,125.0,Opticas / Tablero / Iluminacion
1548/00050-038,ACRILICO TABLERO HONDA CG150 TITAN NEW 2018 NSU,5.084327527435685,0,1548,ACRILICO TABLERO,NSU,HONDA,CG150 TITAN NEW 2018,acrilico tablero honda cg150 titan new 2018 nsu,acrilico tablero; acrilico tablero honda cg150 titan new 2018 nsu; honda; honda cg150 titan new 2018,150.0,Opticas / Tablero / Iluminacion
1548/00011-536,ACRILICO TABLERO HONDA WAVE/GUERRERO G100 AF,0,2827.892331,1548,ACRILICO TABLERO,AF,HONDA,WAVE/GUERRERO G100,acrilico tablero honda wave guerrero g100 af,acrilico tablero; acrilico tablero honda wave guerrero g100 af; honda; honda wave guerrero g100,100.0,Opticas / Tablero / Iluminacion
1548/00011-022,ACRILICO TABLERO HONDA WAVE/GUERRERO G100 NSU,3.002997003804588,0,1548,ACRILICO TABLERO,NSU,HONDA,WAVE/GUERRERO G100,acrilico tablero honda wave guerrero g100 nsu,acrilico tablero; acrilico tablero honda wave guerrero g100 nsu; honda; honda wave guerrero g100,100.0,Opticas / Tablero / Iluminacion
1548/00016-022,ACRILICO TABLERO YAMAHA CRYPTON NSU,2.407928012383461,0,1548,ACRILICO TABLERO,NSU,YAMAHA,CRYPTON,acrilico tablero yamaha crypton nsu,acrilico tablero; acrilico tablero yamaha crypton nsu; yamaha; yamaha crypton,,Opticas / Tablero / Iluminacion
1548/00016-566,ACRILICO TABLERO YAMAHA CRYPTON VC,0,3469.485393,1548,ACRILICO TABLERO,VC,YAMAHA,CRYPTON,acrilico tablero yamaha crypton vc,acrilico tablero; acrilico tablero yamaha crypton vc; yamaha; yamaha crypton,,Opticas / Tablero / Iluminacion
1548/00017-536,ACRILICO TABLERO YAMAHA NEW CRYPTON AF,0,2827.892331,1548,ACRILICO TABLERO,AF,YAMAHA,NEW CRYPTON,acrilico tablero yamaha new crypton af,acrilico tablero; acrilico tablero yamaha new crypton af; yamaha; yamaha new crypton,,Opticas / Tablero / Iluminacion
1548/00012-566,ACRILICO TABLERO ZAN SEXY 110 VC,0,3036.506616,1548,ACRILICO TABLERO,VC,ZAN,SEXY 110,acrilico tablero zan sexy 110 vc,acrilico tablero; acrilico tablero zan sexy 110 vc; zan; zan sexy 110,110.0,Opticas / Tablero / Iluminacion
1548/00013-566,ACRILICO TABLERO ZANELLA  ZB 2007/8/9 VC,0,3032.978256,1548,ACRILICO TABLERO,VC,ZANELLA,ZB 2007/8/9,acrilico tablero zanella zb 2007 8 9 vc,acrilico tablero; acrilico tablero zanella zb 2007 8 9 vc; zanella; zanella zb 2007 8 9,,Opticas / Tablero / Iluminacion
1548/00020-566,ACRILICO TABLERO ZANELLA VENTO VC,0,3036.496815,1548,ACRILICO TABLERO,VC,ZANELLA,VENTO,acrilico tablero zanella vento vc,acrilico tablero; acrilico tablero zanella vento vc; zanella; zanella vento,,Opticas / Tablero / Iluminacion
1548/00030-536,ACRILICO TABLERO ZANELLA ZB110 M/V-FUTURA AF,0,2827.892331,1548,ACRILICO TABLERO,AF,ZANELLA,ZB110 M/V-FUTURA,acrilico tablero zanella zb110 m v futura af,acrilico tablero; acrilico tablero zanella zb110 m v futura af; zanella; zanella zb110 m v futura,110.0,Opticas / Tablero / Iluminacion
1648/08340-560,ADAPTADOR DE MANUBRIO 22.22 A 28.6MM ALUMINIO MDA,0,51499.305495,1648,ADAPTADOR DE MANUBRIO 22.22,MDA,A,28.6MM ALUMINIO,adaptador de manubrio 22 22 a 28 6mm aluminio mda,a; a 28 6mm aluminio; adaptador de manubrio 22 22; adaptador de manubrio 22 22 a 28 6mm aluminio mda,,Universal / Varios
1648/08341-560,ADAPTADOR DE MANUBRIO 22.22 A 28.6MM NEGRO MDA,0,51499.305495,1648,ADAPTADOR DE MANUBRIO 22.22,MDA,A,28.6MM NEGRO,adaptador de manubrio 22 22 a 28 6mm negro mda,a; a 28 6mm negro; adaptador de manubrio 22 22; adaptador de manubrio 22 22 a 28 6mm negro mda,,Universal / Varios
1299/00025-566,ADAPTADOR PARA PATENTE GILERA SMASH VC,0,1794.964941,1299,ADAPTADOR PARA PATENTE,VC,GILERA,SMASH,adaptador para patente gilera smash vc,adaptador para patente; adaptador para patente gilera smash vc; gilera; gilera smash,,Universal / Varios
1299/00030-566,ADAPTADOR PARA PATENTE UNIVERSAL VC,0,1794.964941,1299,ADAPTADOR PARA PATENTE,VC,,,adaptador para patente universal vc,adaptador para patente; adaptador para patente universal vc,,Universal / Varios
1001/00124-665,AEROSOL FOAM FILTRO x220CC BMB,0,6033.877839,1001,AEROSOL FOAM FILTRO x220CC,BMB,,,aerosol foam filtro x220cc bmb,aerosol foam filtro x220cc; aerosol foam filtro x220cc bmb,,Universal / Varios
